TimeStamp;NodeID;NodeCount;Schema;SF;WorkerCount;Item name;CPU ns;USER ns;BLOCKED#;BLOCKED ns;WAITED#;WAITED ns;SUMM all times;Running %;Running total%;Comment
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.scheduler.UpdateScheduler#DailyMarket;16312499515;4350000000;0;0;289904;441626000000;457938499515;3.562;230.301;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.scheduler.UpdateScheduler#FINWIRE;2252338384;1200000000;0;0;21476;56048000000;58300338384;3.863;32.661;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.scheduler.UpdateScheduler#TradeSource;153305355127;62030000000;0;0;2091388;2828740000000;2982045355127;5.141;2155.981;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.scheduler.UpdateScheduler#WatchHistory;6984669591;0;0;0;108430;172927000000;179911669591;3.882;99.182;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#0;109419549;100000000;0;0;12;24000000;133419549;82.012;2.538;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#1;96881364;90000000;0;0;15;21000000;117881364;82.185;2.362;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#10;115006100;110000000;0;0;12;20000000;135006100;85.186;2.617;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#11;87503908;80000000;1;0;11;24000000;111503908;78.476;2.23;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#12;117689543;110000000;1;0;13;19000000;136689543;86.1;2.654;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#13;110765192;110000000;1;0;10;16000000;126765192;87.378;2.557;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#14;113766298;110000000;0;0;13;27000000;140766298;80.819;2.599;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#15;90014469;90000000;1;0;14;32000000;122014469;73.774;2.265;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#2;118344930;110000000;0;0;13;27000000;145344930;81.424;2.664;
